id,title,description,category,priority
63,Issue: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,Medium
64,Alert: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Medium
65,Report: Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,Medium
66,Report: Pune Central Hub requires additional staff during the evening peak hours.,Pune Central Hub requires additional staff during the evening peak hours.,Hub Operations,High
67,Report: EV-119 maintenance was delayed due to parts unavailability.,EV-119 maintenance was delayed due to parts unavailability.,Maintenance,High
68,Alert: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,High
69,Report: EV-121 battery temperature is unusually high during operation.,EV-121 battery temperature is unusually high during operation.,Battery,Medium
70,Report: EV-107 is not charging at station 8.,EV-107 is not charging at station 8.,Charging,High
71,Issue: Routine inspection revealed a coolant leak in EV-112.,Routine inspection revealed a coolant leak in EV-112.,Maintenance,Medium
72,Report: Battery health indicator for EV-107 has degraded significantly this month.,Battery health indicator for EV-107 has degraded significantly this month.,Battery,Critical
73,Battery health indicator for EV-104 has degraded significantly this month.,Battery health indicator for EV-104 has degraded significantly this month.,Battery,Low
74,Mumbai East Hub requires additional staff during the evening peak hours.,Mumbai East Hub requires additional staff during the evening peak hours.,Hub Operations,Medium
75,Telematics unit on EV-124 stopped sending data.,Telematics unit on EV-124 stopped sending data.,Technical,Medium
76,Report: Suggestion received to add more charging stations near Pune Central Hub.,Suggestion received to add more charging stations near Pune Central Hub.,Other,Low
77,Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,High
78,EV-106 dashboard display is flickering intermittently.,EV-106 dashboard display is flickering intermittently.,Vehicle,High
79,Issue: EV-106 is due for scheduled maintenance and has not been serviced.,EV-106 is due for scheduled maintenance and has not been serviced.,Maintenance,Low
80,Vehicle count mismatch found during the shift-change audit at Bangalore South Hub.,Vehicle count mismatch found during the shift-change audit at Bangalore South Hub.,Hub Operations,High
81,EV-123 maintenance was delayed due to parts unavailability.,EV-123 maintenance was delayed due to parts unavailability.,Maintenance,High
82,Mobile app crashes when trying to book a ride from Delhi North Hub.,Mobile app crashes when trying to book a ride from Delhi North Hub.,Technical,Medium
83,Issue: EV-117 tyre pressure warning light is on.,EV-117 tyre pressure warning light is on.,Vehicle,High
84,Battery health indicator for EV-104 has degraded significantly this month.,Battery health indicator for EV-104 has degraded significantly this month.,Battery,Critical
85,Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,Medium
86,Issue: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,Critical
87,Report: Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,Medium
88,Issue: Driver has not arrived for the assigned shift at Mumbai East Hub.,Driver has not arrived for the assigned shift at Mumbai East Hub.,Driver,High
89,Issue: Security gate at Bangalore South Hub is malfunctioning.,Security gate at Bangalore South Hub is malfunctioning.,Hub Operations,High
90,EV-103 is making unusual noise from the motor.,EV-103 is making unusual noise from the motor.,Vehicle,High
91,Alert: Maintenance team flagged worn brake pads on EV-102.,Maintenance team flagged worn brake pads on EV-102.,Maintenance,Medium
92,Alert: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Medium
93,"EV-120 shuts down unexpectedly, suspected battery fault.","EV-120 shuts down unexpectedly, suspected battery fault.",Battery,Medium
94,Alert: Battery health indicator for EV-111 has degraded significantly this month.,Battery health indicator for EV-111 has degraded significantly this month.,Battery,High
95,Alert: Delhi North Hub requires additional staff during the evening peak hours.,Delhi North Hub requires additional staff during the evening peak hours.,Hub Operations,High
96,Report: Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,Low
97,Alert: Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,Critical
98,Alert: EV-106 brakes feel soft and need inspection.,EV-106 brakes feel soft and need inspection.,Vehicle,High
99,Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,High
100,Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,Medium
101,Report: Mobile app crashes when trying to book a ride from Mumbai East Hub.,Mobile app crashes when trying to book a ride from Mumbai East Hub.,Technical,High
102,Alert: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Medium
103,Report: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,High
104,Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,High
105,Alert: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Low
106,Report: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Medium
107,Ride was cancelled midway without explanation for EV-101.,Ride was cancelled midway without explanation for EV-101.,Ride,Medium
108,Alert: Battery percentage dropped unusually fast during the last trip for EV-118.,Battery percentage dropped unusually fast during the last trip for EV-118.,Battery,High
109,EV-108 broke down during operation near Pune Central Hub.,EV-108 broke down during operation near Pune Central Hub.,Vehicle,Medium
110,Alert: Mobile app crashes when trying to book a ride from Mumbai East Hub.,Mobile app crashes when trying to book a ride from Mumbai East Hub.,Technical,Critical
111,EV-103 battery temperature is unusually high during operation.,EV-103 battery temperature is unusually high during operation.,Battery,Medium
112,Issue: Backend sync issue causing duplicate ride records at Bangalore South Hub.,Backend sync issue causing duplicate ride records at Bangalore South Hub.,Technical,Medium
113,Issue: Mumbai East Hub is operating near full capacity with no available parking.,Mumbai East Hub is operating near full capacity with no available parking.,Hub Operations,High
114,EV-105 AC is not working properly.,EV-105 AC is not working properly.,Vehicle,Critical
115,Alert: Vehicle count mismatch found during the shift-change audit at Mumbai East Hub.,Vehicle count mismatch found during the shift-change audit at Mumbai East Hub.,Hub Operations,High
116,Report: Mobile app crashes when trying to book a ride from Bangalore South Hub.,Mobile app crashes when trying to book a ride from Bangalore South Hub.,Technical,Medium
117,Report: EV-117 is due for scheduled maintenance and has not been serviced.,EV-117 is due for scheduled maintenance and has not been serviced.,Maintenance,Low
118,Battery percentage dropped unusually fast during the last trip for EV-105.,Battery percentage dropped unusually fast during the last trip for EV-105.,Battery,High
119,Issue: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,High
120,Issue: EV-119 requires software update for the onboard diagnostics system.,EV-119 requires software update for the onboard diagnostics system.,Maintenance,Critical
121,Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Medium
122,Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,Low
123,Alert: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,Low
124,Alert: Routine inspection revealed a coolant leak in EV-109.,Routine inspection revealed a coolant leak in EV-109.,Maintenance,High
125,Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,Medium
126,Issue: EV-106 is due for scheduled maintenance and has not been serviced.,EV-106 is due for scheduled maintenance and has not been serviced.,Maintenance,Medium
127,Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Medium
128,Issue: Battery percentage dropped unusually fast during the last trip for EV-120.,Battery percentage dropped unusually fast during the last trip for EV-120.,Battery,High
129,Issue: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,Medium
130,Suggestion received to add more charging stations near Bangalore South Hub.,Suggestion received to add more charging stations near Bangalore South Hub.,Other,Medium
131,Report: GPS tracking for EV-114 is showing an incorrect location.,GPS tracking for EV-114 is showing an incorrect location.,Technical,High
132,Alert: EV-124 shows sudden battery drain even when parked.,EV-124 shows sudden battery drain even when parked.,Battery,Low
133,EV-123 shows charging error code and will not start charging.,EV-123 shows charging error code and will not start charging.,Charging,Medium
134,Alert: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,Medium
135,Driver reported feeling unwell and requested a shift change.,Driver reported feeling unwell and requested a shift change.,Driver,Low
136,Report: EV-123 shows charging error code and will not start charging.,EV-123 shows charging error code and will not start charging.,Charging,High
137,Mobile app crashes when trying to book a ride from Pune Central Hub.,Mobile app crashes when trying to book a ride from Pune Central Hub.,Technical,Low
138,"EV-129 shuts down unexpectedly, suspected battery fault.","EV-129 shuts down unexpectedly, suspected battery fault.",Battery,Medium
139,Suggestion received to add more charging stations near Bangalore South Hub.,Suggestion received to add more charging stations near Bangalore South Hub.,Other,Medium
140,General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Low
141,Alert: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,Medium
142,Alert: Driver has not arrived for the assigned shift at Pune Central Hub.,Driver has not arrived for the assigned shift at Pune Central Hub.,Driver,Medium
143,EV-110 is not charging at station 1.,EV-110 is not charging at station 1.,Charging,High
144,Issue: EV-116 AC is not working properly.,EV-116 AC is not working properly.,Vehicle,Critical
145,Report: Vehicle count mismatch found during the shift-change audit at Delhi North Hub.,Vehicle count mismatch found during the shift-change audit at Delhi North Hub.,Hub Operations,Low
146,Issue: Driver flagged a scheduling conflict for the upcoming shift at Delhi North Hub.,Driver flagged a scheduling conflict for the upcoming shift at Delhi North Hub.,Driver,High
147,Alert: Telematics unit on EV-121 stopped sending data.,Telematics unit on EV-121 stopped sending data.,Technical,High
148,Alert: Bangalore South Hub reported a power outage affecting charging operations.,Bangalore South Hub reported a power outage affecting charging operations.,Hub Operations,Medium
149,Alert: Driver flagged a scheduling conflict for the upcoming shift at Pune Central Hub.,Driver flagged a scheduling conflict for the upcoming shift at Pune Central Hub.,Driver,High
150,Pune Central Hub reported a power outage affecting charging operations.,Pune Central Hub reported a power outage affecting charging operations.,Hub Operations,Low
151,Alert: Ride was cancelled midway without explanation for EV-118.,Ride was cancelled midway without explanation for EV-118.,Ride,Low
152,Alert: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,Medium
153,Suggestion received to add more charging stations near Pune Central Hub.,Suggestion received to add more charging stations near Pune Central Hub.,Other,Medium
154,Alert: EV-111 battery percentage is not increasing despite being connected at station 3.,EV-111 battery percentage is not increasing despite being connected at station 3.,Charging,Low
155,Alert: Maintenance team flagged worn brake pads on EV-106.,Maintenance team flagged worn brake pads on EV-106.,Maintenance,Medium
156,Alert: EV-129 is making unusual noise from the motor.,EV-129 is making unusual noise from the motor.,Vehicle,Medium
157,Battery health indicator for EV-102 has degraded significantly this month.,Battery health indicator for EV-102 has degraded significantly this month.,Battery,Medium
158,Issue: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,High
159,Alert: Telematics unit on EV-121 stopped sending data.,Telematics unit on EV-121 stopped sending data.,Technical,Low
160,Report: EV-115 battery temperature is unusually high during operation.,EV-115 battery temperature is unusually high during operation.,Battery,Low
161,Issue: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Low
162,Report: EV-101 broke down during operation near Delhi North Hub.,EV-101 broke down during operation near Delhi North Hub.,Vehicle,Critical
163,Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,Medium
164,Security gate at Pune Central Hub is malfunctioning.,Security gate at Pune Central Hub is malfunctioning.,Hub Operations,Low
165,Report: Ride was cancelled midway without explanation for EV-122.,Ride was cancelled midway without explanation for EV-122.,Ride,Medium
166,Alert: Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,Critical
167,Issue: Driver has not arrived for the assigned shift at Pune Central Hub.,Driver has not arrived for the assigned shift at Pune Central Hub.,Driver,Medium
168,Report: EV-107 shows charging error code and will not start charging.,EV-107 shows charging error code and will not start charging.,Charging,Critical
169,Issue: Security gate at Bangalore South Hub is malfunctioning.,Security gate at Bangalore South Hub is malfunctioning.,Hub Operations,Medium
170,Issue: Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,High
171,Alert: EV-111 broke down during operation near Bangalore South Hub.,EV-111 broke down during operation near Bangalore South Hub.,Vehicle,Critical
172,Charging stops after a few minutes for EV-123 at station 7.,Charging stops after a few minutes for EV-123 at station 7.,Charging,Medium
173,Issue: Telematics unit on EV-116 stopped sending data.,Telematics unit on EV-116 stopped sending data.,Technical,Medium
174,Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Low
175,Alert: EV-115 is due for scheduled maintenance and has not been serviced.,EV-115 is due for scheduled maintenance and has not been serviced.,Maintenance,Low
176,Alert: Security gate at Bangalore South Hub is malfunctioning.,Security gate at Bangalore South Hub is malfunctioning.,Hub Operations,Medium
177,EV-116 maintenance was delayed due to parts unavailability.,EV-116 maintenance was delayed due to parts unavailability.,Maintenance,Medium
178,Report: Battery percentage dropped unusually fast during the last trip for EV-127.,Battery percentage dropped unusually fast during the last trip for EV-127.,Battery,High
179,Issue: EV-126 requires software update for the onboard diagnostics system.,EV-126 requires software update for the onboard diagnostics system.,Maintenance,High
180,Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,Low
181,Alert: Battery percentage dropped unusually fast during the last trip for EV-126.,Battery percentage dropped unusually fast during the last trip for EV-126.,Battery,High
182,EV-101 tyre pressure warning light is on.,EV-101 tyre pressure warning light is on.,Vehicle,High
183,Report: EV-119 shows charging error code and will not start charging.,EV-119 shows charging error code and will not start charging.,Charging,Critical
184,Alert: EV-115 dashboard display is flickering intermittently.,EV-115 dashboard display is flickering intermittently.,Vehicle,High
185,Issue: EV-118 shows sudden battery drain even when parked.,EV-118 shows sudden battery drain even when parked.,Battery,Medium
186,Alert: Bangalore South Hub reported a power outage affecting charging operations.,Bangalore South Hub reported a power outage affecting charging operations.,Hub Operations,Medium
187,Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,Medium
188,Report: EV-123 battery temperature is unusually high during operation.,EV-123 battery temperature is unusually high during operation.,Battery,Medium
189,Alert: Routine inspection revealed a coolant leak in EV-114.,Routine inspection revealed a coolant leak in EV-114.,Maintenance,High
190,Issue: Mumbai East Hub requires additional staff during the evening peak hours.,Mumbai East Hub requires additional staff during the evening peak hours.,Hub Operations,High
191,General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Medium
192,Alert: EV-106 requires software update for the onboard diagnostics system.,EV-106 requires software update for the onboard diagnostics system.,Maintenance,High
193,Issue: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Medium
194,Alert: Charging stops after a few minutes for EV-109 at station 4.,Charging stops after a few minutes for EV-109 at station 4.,Charging,Medium
195,Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,High
196,Issue: Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,High
197,EV-114 is due for scheduled maintenance and has not been serviced.,EV-114 is due for scheduled maintenance and has not been serviced.,Maintenance,Medium
198,Alert: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Critical
199,Issue: EV-114 tyre pressure warning light is on.,EV-114 tyre pressure warning light is on.,Vehicle,High
200,Alert: Driver flagged a scheduling conflict for the upcoming shift at Pune Central Hub.,Driver flagged a scheduling conflict for the upcoming shift at Pune Central Hub.,Driver,High
201,Issue: Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,Medium
202,Report: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,Medium
203,Report: Driver has not arrived for the assigned shift at Mumbai East Hub.,Driver has not arrived for the assigned shift at Mumbai East Hub.,Driver,High
204,General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Low
205,Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Medium
206,Issue: Telematics unit on EV-125 stopped sending data.,Telematics unit on EV-125 stopped sending data.,Technical,High
207,Alert: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,Medium
208,Issue: Battery percentage dropped unusually fast during the last trip for EV-119.,Battery percentage dropped unusually fast during the last trip for EV-119.,Battery,Medium
209,Report: Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,Medium
210,Report: Charging cable at station 6 appears damaged and vehicle is not accepting charge.,Charging cable at station 6 appears damaged and vehicle is not accepting charge.,Charging,High
211,Report: Charging stops after a few minutes for EV-122 at station 8.,Charging stops after a few minutes for EV-122 at station 8.,Charging,High
212,Alert: Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,Medium
213,General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Medium
214,Report: Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,High
215,Issue: Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,Medium
216,Issue: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Medium
217,Report: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Medium
218,Report: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,High
219,Report: EV-109 broke down during operation near Pune Central Hub.,EV-109 broke down during operation near Pune Central Hub.,Vehicle,Medium
220,Report: Vehicle count mismatch found during the shift-change audit at Mumbai East Hub.,Vehicle count mismatch found during the shift-change audit at Mumbai East Hub.,Hub Operations,Low
221,Alert: Mobile app crashes when trying to book a ride from Mumbai East Hub.,Mobile app crashes when trying to book a ride from Mumbai East Hub.,Technical,Low
222,GPS tracking for EV-117 is showing an incorrect location.,GPS tracking for EV-117 is showing an incorrect location.,Technical,Low
223,Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Medium
224,Report: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,Low
225,Issue: Ride was cancelled midway without explanation for EV-120.,Ride was cancelled midway without explanation for EV-120.,Ride,Medium
226,Report: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,High
227,Issue: EV-129 is due for scheduled maintenance and has not been serviced.,EV-129 is due for scheduled maintenance and has not been serviced.,Maintenance,Low
228,Issue: EV-112 is due for scheduled maintenance and has not been serviced.,EV-112 is due for scheduled maintenance and has not been serviced.,Maintenance,High
229,Alert: Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,Low
230,Report: EV-101 AC is not working properly.,EV-101 AC is not working properly.,Vehicle,Medium
231,Report: Backend sync issue causing duplicate ride records at Pune Central Hub.,Backend sync issue causing duplicate ride records at Pune Central Hub.,Technical,Critical
232,Report: EV-123 tyre pressure warning light is on.,EV-123 tyre pressure warning light is on.,Vehicle,Medium
233,Ride was cancelled midway without explanation for EV-101.,Ride was cancelled midway without explanation for EV-101.,Ride,Medium
234,Report: Battery percentage dropped unusually fast during the last trip for EV-126.,Battery percentage dropped unusually fast during the last trip for EV-126.,Battery,Medium
235,EV-113 is making unusual noise from the motor.,EV-113 is making unusual noise from the motor.,Vehicle,Critical
236,Issue: EV-121 dashboard display is flickering intermittently.,EV-121 dashboard display is flickering intermittently.,Vehicle,Critical
237,Issue: Routine inspection revealed a coolant leak in EV-101.,Routine inspection revealed a coolant leak in EV-101.,Maintenance,High
238,Alert: Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,Medium
239,EV-111 broke down during operation near Mumbai East Hub.,EV-111 broke down during operation near Mumbai East Hub.,Vehicle,Medium
240,GPS tracking for EV-125 is showing an incorrect location.,GPS tracking for EV-125 is showing an incorrect location.,Technical,Medium
241,Alert: EV-106 shows charging error code and will not start charging.,EV-106 shows charging error code and will not start charging.,Charging,Medium
242,Report: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Critical
243,Alert: Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,High
244,Report: Routine inspection revealed a coolant leak in EV-123.,Routine inspection revealed a coolant leak in EV-123.,Maintenance,High
245,Issue: Backend sync issue causing duplicate ride records at Pune Central Hub.,Backend sync issue causing duplicate ride records at Pune Central Hub.,Technical,Medium
246,Issue: EV-126 maintenance was delayed due to parts unavailability.,EV-126 maintenance was delayed due to parts unavailability.,Maintenance,High
247,Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,High
248,Issue: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,High
249,Battery health indicator for EV-111 has degraded significantly this month.,Battery health indicator for EV-111 has degraded significantly this month.,Battery,Critical
250,Issue: Charging stops after a few minutes for EV-102 at station 4.,Charging stops after a few minutes for EV-102 at station 4.,Charging,High
251,Issue: Security gate at Bangalore South Hub is malfunctioning.,Security gate at Bangalore South Hub is malfunctioning.,Hub Operations,High
252,Alert: Security gate at Delhi North Hub is malfunctioning.,Security gate at Delhi North Hub is malfunctioning.,Hub Operations,High
253,Issue: Driver has not arrived for the assigned shift at Delhi North Hub.,Driver has not arrived for the assigned shift at Delhi North Hub.,Driver,Medium
254,Alert: Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,Low
255,GPS tracking for EV-103 is showing an incorrect location.,GPS tracking for EV-103 is showing an incorrect location.,Technical,Medium
